Locus_tag	start	stop	strand	KEGG_definition	Knumber	gene_name	COG_category
DLM_3661	3924576	3925373	-	F-type H+-transporting ATPase subunit gamma	K02115	  	C
DLM_3662	3925482	3927026	-	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	K02111	atpA	C
DLM_3663	3927035	3927571	-	F-type H+-transporting ATPase subunit delta	K02113	  	C
DLM_3664	3927579	3928049	-	F-type H+-transporting ATPase subunit b	K02109	atpF	C
DLM_3665	3928103	3928384	-	F-type H+-transporting ATPase subunit c	K02110	  	C
DLM_3666	3928474	3929181	-	F-type H+-transporting ATPase subunit a	K02108	  	C
DLM_3667	3929307	3929471	-	ATP synthase protein I	K02116/K02796	  	  
DLM_3668	3929759	3930559	-	"ParB family transcriptional regulator, chromosome partitioning protein"	K03497	spo0J	K
DLM_3669	3930621	3931400	-	chromosome partitioning protein	K03496	soj	D
DLM_3670	3931409	3932035	-	16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]	K03501	gidB	M
DLM_3671	3932051	3933943	-	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	K03495	  	D
DLM_3672	3934293	3935042	+	L-ornithine Nalpha-acyltransferase [EC:2.3.2.30]	K22310	COG3176	R
DLM_3673	3935157	3935858	+	tRNA (adenine37-N6)-methyltransferase [EC:2.1.1.-]	K22900	COG1720	S
DLM_3674	3935909	3936847	+		  	COG4395	S
DLM_3675	3936993	3938201	+		  	rtn	T
DLM_3676	3938283	3938870	-	hyperosmotically inducible periplasmic protein	K04065	osmY	R
DLM_3677	3938871	3939461	-	D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]	K03271	gmhA	G
DLM_3678	3939492	3939827	-	putative endonuclease	K07460	COG0792	L
DLM_3679	3939833	3940951	-	uncharacterized protein	K07121	lppC	R
DLM_3680	3941012	3941848	+	16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]	K07056	COG0313	R
DLM_3682	3942075	3942221	-	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	K01924	  	  
DLM_3683	3942506	3942850	+	GntR family transcriptional regulator	K03710/K02838	  	  
DLM_3684	3943483	3944604	+	PPM family protein phosphatase [EC:3.1.3.16]	K20074	pTC1	T
DLM_3685	3944605	3945657	+	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	K12132	sPS1	RTKL
DLM_3686	3945657	3946727	+	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	K12132/K08884	sPS1	RTKL
DLM_3687	3946994	3949210	-	iron complex outermembrane recepter protein	K02014	cirA	P
DLM_3688	3949235	3949396	+	dedicator of cytokinesis protein 6/7/8	K21852	  	  
DLM_3689	3949627	3952605	+	diguanylate cyclase [EC:2.7.7.65]	K21023	rocR	KT
DLM_3690	3952640	3953437	+	TatD DNase family protein [EC:3.1.21.-]	K03424	tatD	L
DLM_3691	3953651	3955300	+	methyl-accepting chemotaxis protein	K03406	tar	NT
DLM_3692	3955362	3956879	-	"outer membrane protein, adhesin transport system"	K12543	tolC	MU
DLM_3693	3956977	3957720	+		  	COG3672	S
DLM_3694	3957729	3959645	+		  	rtn	T
DLM_3695	3959926	3972507	-	large repetitive protein	K20276	  	  
DLM_3696	3972683	3973291	-		  	citB	TK
DLM_3697	3973288	3974697	-	"membrane fusion protein, adhesin transport system"	K12542	emrA	V
DLM_3698	3974697	3976796	-	"ATP-binding cassette, subfamily C, bacterial LapB"	K12541	sunT	V
DLM_3699	3977108	3977455	-		  	COG3308	S
DLM_3700	3977452	3978195	-	sec-independent protein translocase protein TatC	K03118	  	U
DLM_3701	3978192	3978701	-	sec-independent protein translocase protein TatB	K03117	tatA	U
DLM_3702	3978717	3978920	-	sec-independent protein translocase protein TatA	K03116	  	U
DLM_3703	3978978	3979301	-	histidine triad (HIT) family protein	K02503	  	FGR
DLM_3704	3979324	3979644	-	phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]	K01523	hisI	E
DLM_3705	3979769	3980161	-	phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]	K01496/K11755	hisI	E
DLM_3706	3980158	3980925	-	imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]	K02500	hisF	E
DLM_3707	3980987	3981667	-	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	K01814	hisA	E
DLM_3708	3981750	3982394	-	imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	K02501	hisH	E
DLM_3709	3982429	3983022	-	imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	K01693	hisB	E
DLM_3710	3983027	3984097	-	histidinol-phosphate aminotransferase [EC:2.6.1.9]	K00817	hisC	E
DLM_3711	3984110	3984241	+	stabilin-1	K19020	  	  
DLM_3712	3984336	3985628	-	histidinol dehydrogenase [EC:1.1.1.23]	K00013	hisD	E
DLM_3713	3985646	3986287	-	ATP phosphoribosyltransferase [EC:2.4.2.17]	K00765	hisG	E
DLM_3714	3986327	3987091	-	flagellar brake protein	K21087	COG5581	M
DLM_3715	3987137	3987727	-	protein SCO1	K07152	COG1999	R
DLM_3716	3987727	3988635	-	heme o synthase [EC:2.5.1.141]	K02257	cyoE	O
DLM_3717	3988649	3989743	-	heme a synthase [EC:1.17.99.9]	K02259	ctaA	O
DLM_3718	3989747	3990247	-		  	COG1999	R
DLM_3719	3990244	3990810	-	surfeit locus 1 family protein	K14998	  	  
DLM_3720	3990944	3991144	+	cytochrome c oxidase subunit III [EC:7.1.1.9]	K02276	  	  
DLM_3721	3991152	3992015	-	cytochrome c oxidase subunit III [EC:7.1.1.9]	K02276	cyoC	C
DLM_3722	3992026	3992202	-	ribosomal protein S6 kinase alpha-5 [EC:2.7.11.1]	K04445	  	  
DLM_3723	3992199	3992726	-	cytochrome c oxidase assembly protein subunit 11	K02258	cOX11	O
DLM_3724	3992754	3994382	-	cytochrome c oxidase subunit I [EC:7.1.1.9]	K02274	cyoB	C
DLM_3725	3994392	3995465	-	cytochrome c oxidase subunit II [EC:7.1.1.9]	K02275	cccA	C
DLM_3726	3995854	3997047	+		  	COG2206	T
DLM_3727	3997062	3997706	-	dethiobiotin synthetase [EC:6.3.3.3]	K01935	bioD	H
DLM_3728	3997705	3997839	+	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	K00128	  	  
DLM_3729	3998020	3999816	-	2-isopropylmalate synthase [EC:2.3.3.13]	K01649	leuA	E
DLM_3730	4000123	4000875	-	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]	K17103	pssA	I
DLM_3731	4001104	4002120	-	ketol-acid reductoisomerase [EC:1.1.1.86]	K00053	ilvC	EH
DLM_3732	4002185	4002676	-	acetolactate synthase I/III small subunit [EC:2.2.1.6]	K01653	ilvH	E
DLM_3733	4002687	4004453	-	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	K01652	ilvB	EH
DLM_3734	4004677	4005243	+	"RNA polymerase sigma-70 factor, ECF subfamily"	K03088	rpoE	K
DLM_3735	4005240	4005626	+	menin	K14970/K00791	  	  
DLM_3736	4005619	4006008	+		  	  	  
DLM_3737	4006030	4006569	+		  	COG1714	S
DLM_3738	4006807	4007304	+		  	marR	K
DLM_3739	4007359	4008666	-	manganese transport protein	K03322	mntH	P
DLM_3740	4008721	4009359	-		  	mltE	M
DLM_3741	4009359	4011257	-	prolyl-tRNA synthetase [EC:6.1.1.15]	K01881	proS	J
DLM_3742	4011350	4013230	+	KUP system potassium uptake protein	K03549	kup	P
DLM_3743	4013477	4014496	-	N-acetyl-anhydromuramoyl-L-alanine amidase [EC:3.5.1.28]	K03806	ampD	R
DLM_3744	4014693	4015223	+		  	COG3945	S
DLM_3745	4015295	4016356	-	transaldolase [EC:2.2.1.2]	K00616	mipB	G
DLM_3746	4016564	4016875	-		  	  	  
DLM_3747	4016961	4018283	-	"two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"	K07636	vicK	T
DLM_3748	4018291	4018980	-	"two-component system, OmpR family, phosphate regulon response regulator PhoB"	K07657	ompR	TK
DLM_3749	4019432	4019875	+	"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"	K03719	lrp	K
DLM_3750	4020164	4021174	-	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	K00134	gapA	G
DLM_3751	4021348	4023102	-	N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193]	K02804	ptsG	G
DLM_3752	4023518	4024528	-	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	K00820	agaS	M
DLM_3753	4024521	4025642	-	N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]	K01443	nagA	G
DLM_3754	4025639	4026373	-	GntR family transcriptional regulator	K03710	phnF	K
DLM_3755	4026822	4027694	-		  	rhaT	GER
DLM_3756	4027810	4028478	-	biopolymer transport protein TolQ	K03562	tolQ	U
DLM_3757	4028507	4029091	-	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]	K07566	sUA5	J
DLM_3758	4029172	4029900	-	polar amino acid transport system substrate-binding protein	K02030	hisJ	ET
DLM_3759	4029940	4030152	-	DNA polymerase alpha subunit A [EC:2.7.7.7]	K02320/K20973	  	  
DLM_3760	4030302	4031579	-	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	K01945	purD	F
DLM_3761	4031653	4032501	-	MtfA peptidase	K09933	  	  
DLM_3762	4032577	4034154	-	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	K00602	purH	F
DLM_3763	4034299	4034571	-	"Fis family transcriptional regulator, factor for inversion stimulation protein"	K03557	fis	KL
DLM_3764	4034623	4035645	-	tRNA-dihydrouridine synthase B [EC:1.-.-.-]	K05540	COG0042	J
DLM_3765	4036259	4039429	+	diguanylate cyclase [EC:2.7.7.65]	K21023	COG4564	T
DLM_3766	4039409	4040809	-		  	araJ	G
DLM_3767	4040818	4041762	-	purine nucleosidase [EC:3.2.2.1]	K01239	uRH1	F
DLM_3768	4041829	4043031	-	hippurate hydrolase [EC:3.5.1.32]	K01451	abgB	R
DLM_3769	4043160	4046981	-	translocation and assembly module TamB	K09800	COG2911	S
DLM_3770	4046981	4048741	-	translocation and assembly module TamA	K07278	COG0729	M
DLM_3771	4048929	4050728	-	dihydrolipoamide dehydrogenase [EC:1.8.1.4]	K00382	aceF	C
DLM_3772	4050866	4052536	-	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	K00627	aceF	C
DLM_3773	4052675	4055338	-	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	K00163	aceE	C
DLM_3774	4055642	4057081	-	beta-barrel assembly-enhancing protease [EC:3.4.-.-]	K01423	COG4783	R
DLM_3775	4057232	4058938	-	"sulfate permease, SulP family"	K03321	sUL1	P
DLM_3776	4058926	4059345	-	uncharacterized protein	K07112	  	R
DLM_3777	4059348	4059785	-	uncharacterized protein	K07112	COG2391	R
DLM_3778	4059796	4060125	-	"ArsR family transcriptional regulator, virulence genes transcriptional regulator"	K22042	arsR	K
DLM_3779	4060251	4061141	+	hydroxyacylglutathione hydrolase [EC:3.1.2.6]	K01069	gloB	R
DLM_3780	4061177	4062169	+		  	  	  
DLM_3781	4062174	4062620	+		  	COG3153	R
DLM_3782	4062814	4063395	+	carbonic anhydrase [EC:4.2.1.1]	K01673	  	P
DLM_3783	4063392	4064036	+	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	K00969	nadD	H
DLM_3784	4064191	4064562	+	ribosome-associated protein	K09710	COG0799	S
DLM_3785	4064689	4065159	+	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	K00783	COG1576	S
DLM_3786	4065379	4065828	-		  	  	  
DLM_3787	4065860	4066483	+	periplasmic copper chaperone A	K09796	COG4549	S
DLM_3788	4066675	4068249	-	NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]	K03387	ahpF	O
DLM_3789	4068236	4068361	-	MADS-box transcription enhancer factor 2B	K09261	  	  
DLM_3790	4068366	4068935	-	NADH-dependent peroxiredoxin subunit C [EC:1.11.1.26]	K24119/K03386	ahpC	O
DLM_3791	4069208	4069600	-		  	COG3753	S
DLM_3792	4069723	4070508	+	soluble lytic murein transglycosylase [EC:4.2.2.-]	K08309	mltE	M
DLM_3793	4070576	4070875	-	type VI secretion system protein ImpC	K11900/K22144	  	  
DLM_3794	4071054	4072058	-	DNA polymerase III subunit delta [EC:2.7.7.7]	K02340	  	L
DLM_3795	4072039	4072596	-	LPS-assembly lipoprotein	K03643	  	M
DLM_3796	4072703	4075321	-	leucyl-tRNA synthetase [EC:6.1.1.4]	K01869	leuS	J
DLM_3797	4075316	4075429	+	phospholipase A1 [EC:3.1.1.32]	K16818/K05820	  	  
DLM_3798	4075612	4076559	-	proline iminopeptidase [EC:3.4.11.5]	K01259	mhpC	R
DLM_3799	4076606	4077064	-		  	COG2947	S
DLM_3800	4077193	4077339	+	thousand and one amino acid protein kinase [EC:2.7.11.1]	K04429/K18139	  	  
DLM_3801	4077381	4078001	-	5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	K01934	COG0212	H
DLM_3802	4078295	4078606	-	cell division protein ZapA	K09888	zapA	S
DLM_3803	4078603	4078866	-	cell division protein ZapB	K09892	  	  
DLM_3804	4078924	4079448	-	adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]	K02231	cobU	H
DLM_3805	4079707	4080741	+	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]	K00768	cobT	H
DLM_3806	4080748	4081350	+	alpha-ribazole phosphatase [EC:3.1.3.73]	K02226	phoE	G
DLM_3807	4081347	4082108	+	adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]	K02233	cobS	H
DLM_3808	4082198	4082674	+		  	rimI	R
DLM_3809	4082675	4083805	-		  	  	  
DLM_3810	4084049	4085053	+		  	COG4784	R
DLM_3811	4085054	4085947	-		  	COG3619	S
DLM_3812	4085952	4086821	-		  	  	  
DLM_3813	4086818	4087534	-	type III pantothenate kinase [EC:2.7.1.33]	K03525	  	K
DLM_3814	4087531	4088499	-	"BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]"	K03524	  	K
DLM_3815	4088496	4089029	-	D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [EC:2.7.7.70]	K21345	rfaE	M
DLM_3816	4089118	4089528	-	type IV pilus assembly protein PilE	K02655	pilE	NU
DLM_3817	4089537	4093661	-	type IV pilus assembly protein PilY1	K02674	pilY1	NU
DLM_3818	4093674	4094225	-	type IV pilus assembly protein PilX	K02673	pilX	NU
DLM_3819	4094225	4095280	-	type IV pilus assembly protein PilW	K02672	pilW	NU
DLM_3820	4095277	4095720	-	type IV pilus assembly protein PilV	K02671	pilV	NU
DLM_3821	4095765	4096340	-	type IV fimbrial biogenesis protein FimT	K08084	fimT	NU
DLM_3827	4102088	4102210	+	lysine-specific permease	K11733	  	  
DLM_3828	4102421	4103761	-	ATP-dependent HslUV protease ATP-binding subunit HslU	K03667	hslU	O
DLM_3829	4103829	4104389	-	"ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]"	K01419	hslV	O
DLM_3830	4104562	4105269	+	periplasmic protein TonB	K03832	tonB	M
DLM_3831	4105335	4105943	+	biopolymer transport protein ExbB	K03561	tolQ	U
DLM_3832	4105930	4106340	+	biopolymer transport protein ExbD	K03559	  	U
DLM_3833	4106524	4108689	+	catecholate siderophore receptor	K16090	fiu	P
DLM_3834	4108800	4109480	+	PKHD-type hydroxylase [EC:1.14.11.-]	K07336	piuC	S
DLM_3835	4109618	4110172	+	aerotaxis receptor	K03776	atoS	T
DLM_3836	4110172	4111617	+	methyl-accepting chemotaxis protein	K03406	tar	NT
DLM_3837	4112117	4112251	-	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	K01092	  	  
DLM_3838	4112568	4112906	+	phage shock protein E	K03972	pspE	P
DLM_3839	4112924	4113640	-	16S rRNA pseudouridine516 synthase [EC:5.4.99.19]	K06183	rsuA	J
DLM_3840	4113759	4114745	+	sodium transport system permease protein	K09696	  	  
DLM_3841	4114727	4116637	-	"two-component system, cell cycle response regulator [EC:2.7.7.65]"	K02488	COG2199	T
DLM_3842	4116957	4117859	-		  	COG2199	T
DLM_3843	4118043	4118639	+	"TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon"	K16137	acrR	K
DLM_3844	4118615	4119406	-	polar amino acid transport system substrate-binding protein	K02030	hisJ	ET
DLM_3845	4119653	4121128	-	ATP-dependent RNA helicase RhlE [EC:3.6.4.13]	K11927	srmB	LKJ
DLM_3846	4121345	4122067	+		  	lprI	S
DLM_3847	4122140	4122685	+		  	COG4681	S
DLM_3848	4122693	4123292	-	transcriptional regulator	K07734	paiB	K
DLM_3849	4123348	4123779	-		  	COG2128	S
DLM_3850	4123876	4124502	-		  	rhtB	E
DLM_3851	4124637	4125080	+	"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"	K03719	lrp	K
DLM_3852	4125156	4125701	+		  	rimI	R
DLM_3853	4125739	4126236	+	UTP pyrophosphatase [EC:3.6.1.-]	K07043	COG1451	R
DLM_3854	4126268	4127233	-	acetyl esterase [EC:3.1.1.-]	K01066	aes	I
DLM_3855	4127332	4128582	-	"MFS transporter, ENTS family, enterobactin (siderophore) exporter"	K08225	  	  
DLM_3856	4128686	4129564	-	putative two-component system response regulator	K07814	COG2206	T
DLM_3857	4129716	4130732	+	23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]	K06969	COG1092	R
DLM_3858	4130973	4132838	+	"ATP-binding cassette, subfamily B, multidrug efflux pump"	K18893	mdlB	V
DLM_3859	4132916	4133131	-	uncharacterized protein	K09794	COG2841	S
DLM_3860	4133390	4134454	+		  	COG2199	T
DLM_3861	4134505	4138308	-	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	K00548	metH	E
DLM_3862	4138382	4139101	+	polar amino acid transport system substrate-binding protein	K02030	hisJ	ET
DLM_3863	4139224	4139793	+	uncharacterized protein	K07000	COG3150	R
DLM_3864	4139768	4141153	-	"two-component system, sensor histidine kinase [EC:2.7.13.3]"	K20974	cheY	T
DLM_3865	4141150	4141689	-		  	  	  
DLM_3866	4141899	4142873	+	NADPH:quinone reductase [EC:1.6.5.5]	K00344	qor	CR
DLM_3867	4142902	4143339	-	tenascin	K06252/K12234	  	  
DLM_3868	4143436	4143813	-	segment polarity protein dishevelled	K02353/K22044	  	  
DLM_3869	4143912	4144139	-	serine/threonine-protein kinase LATS1/2 [EC:2.7.11.1]	K08791/K02476	  	  
DLM_3870	4144136	4144363	-	"ATP-binding cassette, subfamily B, multidrug efflux pump"	K18889/K21572	  	  
DLM_3871	4144355	4145080	+	"two-component system, OmpR family, phosphate regulon response regulator OmpR"	K07659	ompR	TK
DLM_3872	4145084	4146406	+	"two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]"	K07638	baeS	T
DLM_3873	4146431	4147291	-		  	rhaT	GER
DLM_3874	4147466	4147873	+		  	  	  
DLM_3875	4148006	4149622	+	methylamine---glutamate N-methyltransferase subunit C [EC:2.1.1.21]	K22083	gltB	E
DLM_3876	4151686	4151964	+	transposase	K07483	  	L
DLM_3877	4152024	4152836	+	putative transposase	K07497	  	L
DLM_3878	4154936	4155970	-		  	  	BQ
DLM_3879	4156051	4157094	-	spermidine/putrescine transport system substrate-binding protein	K11069	potD	E
DLM_3880	4157161	4157949	-	spermidine/putrescine transport system permease protein	K11070	potC	E
DLM_3881	4157951	4158841	-	spermidine/putrescine transport system permease protein	K11071	potB	E
DLM_3882	4158831	4159916	-	spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]	K11072	potA	E
DLM_3883	4159944	4160384	+	oligo-alginate lyase [EC:4.2.2.26]	K20525/K09014	  	  
DLM_3884	4160676	4161728	-		  	araC	K
DLM_3885	4162078	4162530	+	NitT/TauT family transport system substrate-binding protein	K02051	  	  
DLM_3886	4162557	4163444	+		  	COG4727	S
DLM_3887	4163556	4163939	+	RNA-binding protein NOB1	K11883	  	  
DLM_3888	4164105	4165010	-		  	rhaT	GER
DLM_3889	4165142	4165621	+	"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"	K03719	lrp	K
DLM_3890	4165644	4166246	-		  	COG3448	T
DLM_3891	4166755	4168143	-	Xaa-Pro aminopeptidase [EC:3.4.11.9]	K01262/K14213	pepP	E
DLM_3892	4169055	4170173	+		  	fimA	NU
DLM_3893	4170225	4170368	-	adenylate cyclase 2 [EC:4.6.1.1]	K08042/K05782	  	  
DLM_3894	4170816	4171862	+		  	fimA	NU
DLM_3895	4171912	4173174	-	benzoate membrane transport protein	K05782	benE	Q
DLM_3896	4173289	4174725	+		  	aRO8	KE
DLM_3897	4174725	4175825	+	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	K00109	COG0579	R
DLM_3898	4175833	4176432	+		  	COG2258	S
DLM_3899	4176531	4177295	+	"DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor"	K02444/K03436	glpR	KG
DLM_3900	4177453	4178001	+	thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]	K03564	bcp	O
DLM_3901	4178028	4178633	+		  	rhtB	E
DLM_3902	4178643	4179506	-		  	rhaT	GER
DLM_3903	4179581	4180315	-		  	araC	K
DLM_3904	4180621	4182156	-	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	K00111	glpA	C
DLM_3905	4182232	4182393	+	E3 ubiquitin-protein ligase DCST1 [EC:2.3.2.27]	K22375	  	  
DLM_3906	4182467	4183171	-	glycerol uptake facilitator protein	K02440	glpF	G
DLM_3907	4183244	4183369	-	mitogen-activated protein kinase kinase kinase kinase 2 [EC:2.7.11.1]	K04414	  	  
DLM_3908	4183397	4184893	-	glycerol kinase [EC:2.7.1.30]	K00864	glpK	C
DLM_3909	4184894	4185064	+	aspartoacylase [EC:3.5.1.15]	K01437/K00413	  	  
DLM_3910	4185078	4185194	-	formate dehydrogenase beta subunit [EC:1.17.1.9]	K22515	  	  
DLM_3911	4185296	4185496	-	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E	K03613/K01525	  	  
DLM_3912	4185495	4186904	+	pyruvate kinase [EC:2.7.1.40]	K00873	pykF	G
DLM_3913	4186988	4187653	-		  	COG4380	S
DLM_3914	4187663	4187932	-		  	COG4259	S
DLM_3915	4188031	4188705	-		  	csgG	M
DLM_3916	4188979	4189905	-		  	COG0412	Q
DLM_3917	4189895	4190668	-		  	mhpC	R
DLM_3918	4190801	4191802	-	sulfate/thiosulfate transport system substrate-binding protein	K23163	sbp	P
DLM_3919	4192033	4192605	+	uncharacterized protein	K07002	COG3545	R
DLM_3920	4192725	4193264	+	uncharacterized protein	K09924	COG3184	S
DLM_3921	4193319	4193882	-	"XRE family transcriptional regulator, regulator of sulfur utilization"	K23779	COG1476	K
DLM_3922	4193993	4194886	+		  	rhaT	GER
DLM_3923	4194969	4195550	+	uracil-DNA glycosylase [EC:3.2.2.27]	K21929	COG1573	L
DLM_3924	4195619	4195942	+	long-chain acyl-CoA synthetase [EC:6.2.1.3]	K01897/K07019	  	  
DLM_3925	4195997	4197121	+		  	arsB	P
DLM_3926	4197201	4198733	-	histidine ammonia-lyase [EC:4.3.1.3]	K01745	hutH	E
DLM_3927	4198909	4200591	-	urocanate hydratase [EC:4.2.1.49]	K01712	hutU	E
DLM_3928	4200723	4201658	-	formiminoglutamase [EC:3.5.3.8]	K01479	speB	E
DLM_3929	4201655	4202905	-	imidazolonepropionase [EC:3.5.2.7]	K01468	hutI	Q
DLM_3930	4203104	4203913	-	undecaprenyl-diphosphatase [EC:3.6.1.27]	K06153	bacA	V
DLM_3931	4204166	4204894	-	"GntR family transcriptional regulator, histidine utilization repressor"	K05836	phnF	K
DLM_3932	4205092	4205937	+	glucose-6-phosphate 1-epimerase [EC:5.1.3.15]	K01792	COG0676	G
DLM_3933	4206025	4206594	+	molecular chaperone DnaJ	K03686	  	  
DLM_3934	4207061	4207849	-	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	K09761	COG1385	S
DLM_3935	4208056	4208847	+	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	K01092/K01082	suhB	G
DLM_3936	4209069	4209653	-	D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]	K03271	gmhA	G
DLM_3937	4209797	4210684	-		  	rhaT	GER
DLM_3938	4210740	4211135	-	ADP-ribosyl-[dinitrogen reductase] hydrolase [EC:3.2.2.24]	K05521	COG3791	S
DLM_3939	4211129	4211782	-	alanyl-tRNA synthetase [EC:6.1.1.7]	K01872	COG2872	R
DLM_3940	4211779	4212708	-	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	COG4976	R
DLM_3941	4212712	4213167	-		  	argA	E
DLM_3942	4213454	4214365	-	chloramphenicol-sensitive protein RarD	K05786	rarD	R
DLM_3943	4214757	4218233	+	indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]	K04090	porG	C
DLM_3944	4218272	4218385	-	immune costimulatory protein B7-H3	K06746	  	  
DLM_3945	4218385	4218624	-	membrane-associated phosphatidylinositol transfer protein	K24069/K01990	  	  
DLM_3946	4218785	4219687	+		  	COG1432	S
DLM_3947	4219748	4220269	+	L-amino acid N-acyltransferase [EC:2.3.1.-]	K24217/K03823	COG1247	M
DLM_3948	4220434	4220892	-	aspartate carbamoyltransferase regulatory subunit	K00610	pyrI	F
DLM_3949	4220911	4221762	-	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	K00609	pyrB	F
DLM_3950	4221893	4222012	-	ubiquitin carboxyl-terminal hydrolase 44/49 [EC:3.4.19.12]	K11834	  	  
DLM_3951	4222133	4222720	-	homoserine/homoserine lactone efflux protein	K05834	rhtB	E
DLM_3952	4222840	4224915	-	methyl-accepting chemotaxis protein	K03406/K11525	tar	NT
DLM_3953	4225111	4225299	-	uncharacterized protein	K06940	  	  
DLM_3954	4225544	4226758	+		  	COG2206	T
DLM_3955	4226986	4227795	-	small conductance mechanosensitive channel	K03442	mscS	M
DLM_3956	4227883	4228617	-	NAD-dependent deacetylase [EC:2.3.1.286]	K12410	sIR2	K
DLM_3957	4228711	4229067	-	dCTP diphosphatase [EC:3.6.1.12]	K16904	mazG	R
DLM_3958	4229166	4229777	-	glutathione S-transferase [EC:2.5.1.18]	K00799	gst	O
DLM_3959	4229892	4230170	-		  	  	S
DLM_3960	4230385	4230885	+	periplasmic protein CpxP/Spy	K06006	  	  
DLM_3961	4230958	4231380	+		  	  	  
DLM_3962	4231397	4231855	+		  	  	  
DLM_3963	4231927	4232391	-	bacterial/archaeal transporter family-2 protein	K09936	  	S
DLM_3964	4232444	4232857	-	uncharacterized protein	K06940	COG0727	R
DLM_3965	4232868	4234844	-	U32 family peptidase [EC:3.4.-.-]	K08303	COG0826	O
DLM_3966	4235167	4235400	-		  	  	  
DLM_3967	4235606	4236835	+	uncharacterized protein	K09927	COG3214	S
DLM_3968	4236928	4237242	-		  	  	  
DLM_3969	4237404	4237856	-		  	rimI	R
DLM_3970	4238263	4240173	-	phosphomethylpyrimidine synthase [EC:4.1.99.17]	K03147	thiC	H
DLM_3971	4240512	4241171	+	protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	K00573	pcm	O
DLM_3972	4241171	4241497	+		  	pspE	P
